Directorate,Question Text,Response Answer,Response Score,Question Status,Assignment Category,Person Number,User Person Type,System Person Type,Enterprise Hire Date,Month,Response Text,Response (%),Response Status,Grade Name,Length Of Service,LOS Bands
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard part time,678952,Permanent,Employee,11/03/1993,2022 / 11,,1,Submitted,Scale I,29.68493151,20 - 30 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard part time,678952,Permanent,Employee,11/03/1993,2022 / 11,,1,Submitted,Scale I,29.68493151,20 - 30 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard part time,678952,Permanent,Employee,11/03/1993,2022 / 11,,1,Submitted,Scale I,29.68493151,20 - 30 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Disagree,,Active,Standard part time,678952,Permanent,Employee,11/03/1993,2022 / 11,,1,Submitted,Scale I,29.68493151,20 - 30 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Agree,,Active,Standard full time,789523,Permanent,Employee,07/04/1986,2022 / 12,,1,Submitted,Scale I,1.079452055,0 - 5 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,789523,Permanent,Employee,07/04/1986,2022 / 12,,1,Submitted,Scale I,1.079452055,0 - 5 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,789523,Permanent,Employee,07/04/1986,2022 / 12,,1,Submitted,Scale I,1.079452055,0 - 5 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Agree,,Active,Standard full time,789523,Permanent,Employee,07/04/1986,2022 / 12,,1,Submitted,Scale I,1.079452055,0 - 5 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Prefer not to say,,Active,Standard full time,789523,Permanent,Employee,07/04/1986,2022 / 12,,1,Submitted,Scale I,1.079452055,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,18/08/1986,2023 / 03,,1,Submitted,Scale E,36.77260274,30 - 40 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,18/08/1986,2023 / 03,,1,Submitted,Scale E,36.77260274,30 - 40 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,895234,Permanent,Employee,18/08/1986,2023 / 03,,1,Submitted,Scale E,36.77260274,30 - 40 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,18/08/1986,2023 / 03,,1,Submitted,Scale E,36.77260274,30 - 40 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,895234,Permanent,Employee,18/08/1986,2023 / 03,,1,Submitted,Scale E,36.77260274,30 - 40 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Disagree,,Active,Standard part time,952345,Permanent,Employee,02/06/2008,2023 / 04,,1,Submitted,Scale D,15.04657534,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard part time,952345,Permanent,Employee,02/06/2008,2023 / 04,,1,Submitted,Scale D,15.04657534,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,876543,Permanent,Employee,03/10/2011,2023 / 03,,1,Submitted,Scale D,11.70410959,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,876543,Permanent,Employee,03/10/2011,2023 / 03,,1,Submitted,Scale D,11.70410959,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,765432,Permanent,Employee,31/10/2011,2023 / 06,,1,Submitted,Scale G,11.67123288,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,765432,Permanent,Employee,31/10/2011,2023 / 06,,1,Submitted,Scale G,11.67123288,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,654325,Permanent,Employee,03/11/2011,2023 / 09,,1,Submitted,Scale D,11.91506849,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard full time,654325,Permanent,Employee,03/11/2011,2023 / 09,,1,Submitted,Scale D,11.91506849,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard part time,543259,Permanent,Employee,28/08/2012,2023 / 09,,1,Submitted,Scale E,11.34794521,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard part time,432598,Permanent,Employee,28/08/2012,2023 / 09,,1,Submitted,Scale E,11.34794521,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,432598,Permanent,Employee,01/10/2012,2023 / 09,,1,Submitted,Scale E,11.05753425,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,432598,Permanent,Employee,01/10/2012,2023 / 09,,1,Submitted,Scale E,11.05753425,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Disagree,,Active,Standard full time,325987,Permanent,Employee,01/10/2012,2022 / 11,,1,Submitted,Scale F,10.29041096,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,325987,Permanent,Employee,01/10/2012,2022 / 11,,1,Submitted,Scale F,10.29041096,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,325987,Permanent,Employee,01/10/2012,2022 / 11,,1,Submitted,Scale F,10.29041096,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Agree,,Active,Standard full time,325987,Permanent,Employee,01/10/2012,2022 / 11,,1,Submitted,Scale F,10.29041096,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Disagree,,Active,Standard full time,325987,Permanent,Employee,01/10/2012,2022 / 11,,1,Submitted,Scale F,10.29041096,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,234565,Permanent,Employee,01/10/2012,2022 / 12,,1,Submitted,Scale E,10.21369863,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,234565,Permanent,Employee,01/10/2012,2022 / 12,,1,Submitted,Scale E,10.21369863,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,234565,Permanent,Employee,01/10/2012,2022 / 12,,1,Submitted,Scale E,10.21369863,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,234565,Permanent,Employee,01/10/2012,2022 / 12,,1,Submitted,Scale E,10.21369863,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,234565,Permanent,Employee,01/10/2012,2022 / 12,,1,Submitted,Scale E,10.21369863,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard full time,987655,Permanent,Employee,26/11/2012,2023 / 09,,1,Submitted,Scale F,3.265753425,0 - 5 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,987655,Permanent,Employee,26/11/2012,2023 / 09,,1,Submitted,Scale F,3.265753425,0 - 5 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,465235,Permanent,Employee,29/03/1993,2023 / 01,,1,Submitted,Scale H,29.89041096,20 - 30 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,465235,Permanent,Employee,29/03/1993,2023 / 01,,1,Submitted,Scale H,29.89041096,20 - 30 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,465235,Permanent,Employee,29/03/1993,2023 / 01,,1,Submitted,Scale H,29.89041096,20 - 30 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Agree,,Active,Standard full time,465235,Permanent,Employee,29/03/1993,2023 / 01,,1,Submitted,Scale H,29.89041096,20 - 30 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,465235,Permanent,Employee,29/03/1993,2023 / 01,,1,Submitted,Scale H,29.89041096,20 - 30 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Temporary part time,234561,Permanent,Employee,01/10/1979,2023 / 03,,1,Submitted,Scale D,43.77534247,40 - 50 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Temporary part time,234561,Permanent,Employee,01/10/1979,2023 / 03,,1,Submitted,Scale D,43.77534247,40 - 50 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Agree,,Active,Standard part time,245661,Permanent,Employee,27/10/2003,2022 / 11,,1,Submitted,Scale D,19.45205479,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard part time,245661,Permanent,Employee,27/10/2003,2022 / 11,,1,Submitted,Scale D,19.45205479,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard part time,245661,Permanent,Employee,27/10/2003,2022 / 11,,1,Submitted,Scale D,19.45205479,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Agree,,Active,Standard part time,245661,Permanent,Employee,27/10/2003,2022 / 11,,1,Submitted,Scale D,19.45205479,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard part time,245661,Permanent,Employee,27/10/2003,2022 / 11,,1,Submitted,Scale D,19.45205479,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard part time,166542,Permanent,Employee,29/03/2004,2023 / 02,,1,Submitted,Scale E,19.18356164,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard part time,166542,Permanent,Employee,29/03/2004,2023 / 02,,1,Submitted,Scale E,19.18356164,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard part time,166542,Permanent,Employee,29/03/2004,2023 / 02,,1,Submitted,Scale E,19.18356164,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Agree,,Active,Standard part time,166542,Permanent,Employee,29/03/2004,2023 / 02,,1,Submitted,Scale E,19.18356164,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard part time,166542,Permanent,Employee,29/03/2004,2023 / 02,,1,Submitted,Scale E,19.18356164,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard part time,665421,Permanent,Employee,03/05/2005,2023 / 06,,1,Submitted,Scale J,18.21369863,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard part time,665421,Permanent,Employee,03/05/2005,2023 / 06,,1,Submitted,Scale J,18.21369863,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Disagree,,Active,Standard full time,665423,Permanent,Employee,01/10/2007,2023 / 01,,1,Submitted,Scale E,15.39178082,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,665423,Permanent,Employee,01/10/2007,2023 / 01,,1,Submitted,Scale E,15.39178082,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,665423,Permanent,Employee,01/10/2007,2023 / 01,,1,Submitted,Scale E,15.39178082,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Disagree,,Active,Standard full time,665423,Permanent,Employee,01/10/2007,2023 / 01,,1,Submitted,Scale E,15.39178082,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,665423,Permanent,Employee,01/10/2007,2023 / 01,,1,Submitted,Scale E,15.39178082,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Agree,,Active,Standard part time,665424,Permanent,Employee,14/04/2008,2023 / 10,,1,Submitted,Scale D,15.79178082,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Agree,,Active,Standard part time,665424,Permanent,Employee,14/04/2008,2023 / 10,,1,Submitted,Scale D,15.79178082,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Strongly Agree,,Active,Standard full time,665425,Permanent,Employee,20/10/2008,2023 / 01,,1,Submitted,Scale H,14.35890411,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,665425,Permanent,Employee,20/10/2008,2023 / 01,,1,Submitted,Scale H,14.35890411,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,665425,Permanent,Employee,20/10/2008,2023 / 01,,1,Submitted,Scale H,14.35890411,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,665425,Permanent,Employee,20/10/2008,2023 / 01,,1,Submitted,Scale H,14.35890411,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,665425,Permanent,Employee,20/10/2008,2023 / 01,,1,Submitted,Scale H,14.35890411,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,665426,Permanent,Employee,01/02/2010,2023 / 08,,1,Submitted,Scale D,13.7369863,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,665426,Permanent,Employee,01/02/2010,2023 / 08,,1,Submitted,Scale D,13.7369863,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard part time,665421,Permanent,Employee,03/10/2011,2023 / 04,,1,Submitted,Scale D,11.75616438,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Strongly Disagree,,Active,Standard part time,665421,Permanent,Employee,03/10/2011,2023 / 04,,1,Submitted,Scale D,11.75616438,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Not Answered,,Active,Standard part time,665428,Permanent,Employee,14/08/2008,2023 / 04,,1,Submitted,Scale D,15.15342466,10 - 20 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Not Answered,,Active,Standard part time,665428,Permanent,Employee,14/08/2008,2023 / 04,,1,Submitted,Scale D,15.15342466,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Disagree,,Active,Standard full time,665429,Permanent,Employee,19/11/2012,2022 / 12,,1,Submitted,Scale F,10.04109589,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,665429,Permanent,Employee,19/11/2012,2022 / 12,,1,Submitted,Scale F,10.04109589,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,665429,Permanent,Employee,19/11/2012,2022 / 12,,1,Submitted,Scale F,10.04109589,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,665429,Permanent,Employee,19/11/2012,2022 / 12,,1,Submitted,Scale F,10.04109589,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,665429,Permanent,Employee,19/11/2012,2022 / 12,,1,Submitted,Scale F,10.04109589,10 - 20 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard part time,165421,Permanent,Employee,17/01/2005,2022 / 11,,1,Submitted,Scale F,18.1260274,10 - 20 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard part time,165421,Permanent,Employee,17/01/2005,2022 / 11,,1,Submitted,Scale F,18.1260274,10 - 20 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard part time,165421,Permanent,Employee,17/01/2005,2022 / 11,,1,Submitted,Scale F,18.1260274,10 - 20 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard part time,165421,Permanent,Employee,17/01/2005,2022 / 11,,1,Submitted,Scale F,18.1260274,10 - 20 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard part time,165421,Permanent,Employee,17/01/2005,2022 / 11,,1,Submitted,Scale F,18.1260274,10 - 20 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Disagree,,Active,Standard full time,165422,Permanent,Employee,30/09/2013,2023 / 03,,1,Submitted,Scale E,9.695890411,5 - 10 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Disagree,,Active,Standard full time,165422,Permanent,Employee,30/09/2013,2023 / 03,,1,Submitted,Scale E,9.695890411,5 - 10 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,165423,Permanent,Employee,30/09/2013,2023 / 02,,1,Submitted,Scale I,9.465753425,5 - 10 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,165423,Permanent,Employee,30/09/2013,2023 / 02,,1,Submitted,Scale I,9.465753425,5 - 10 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Agree,,Active,Standard full time,165423,Permanent,Employee,30/09/2013,2023 / 02,,1,Submitted,Scale I,9.465753425,5 - 10 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Strongly Disagree,,Active,Standard full time,165423,Permanent,Employee,30/09/2013,2023 / 02,,1,Submitted,Scale I,9.465753425,5 - 10 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Disagree,,Active,Standard full time,165423,Permanent,Employee,30/09/2013,2023 / 02,,1,Submitted,Scale I,9.465753425,5 - 10 Years
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,Strongly Agree,,Active,Standard full time,165424,Permanent,Employee,17/02/2014,2023 / 09,,1,Submitted,Scale E,9.6,5 - 10 Years
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",Agree,,Active,Standard full time,165424,Permanent,Employee,17/02/2014,2023 / 09,,1,Submitted,Scale E,9.6,5 - 10 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,165425,Permanent,Employee,17/02/2014,2023 / 02,,1,Submitted,Scale E,8.98630137,5 - 10 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,165425,Permanent,Employee,17/02/2014,2023 / 02,,1,Submitted,Scale E,8.98630137,5 - 10 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,165425,Permanent,Employee,17/02/2014,2023 / 02,,1,Submitted,Scale E,8.98630137,5 - 10 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,165425,Permanent,Employee,17/02/2014,2023 / 02,,1,Submitted,Scale E,8.98630137,5 - 10 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,165425,Permanent,Employee,17/02/2014,2023 / 02,,1,Submitted,Scale E,8.98630137,5 - 10 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,165426,Permanent,Employee,02/06/2014,2022 / 12,,1,Submitted,Scale E,8.728767123,5 - 10 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,165426,Permanent,Employee,02/06/2014,2022 / 12,,1,Submitted,Scale E,8.728767123,5 - 10 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,165426,Permanent,Employee,02/06/2014,2022 / 12,,1,Submitted,Scale E,8.728767123,5 - 10 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,165426,Permanent,Employee,02/06/2014,2022 / 12,,1,Submitted,Scale E,8.728767123,5 - 10 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Strongly Agree,,Active,Standard full time,165426,Permanent,Employee,02/06/2014,2022 / 12,,1,Submitted,Scale E,8.728767123,5 - 10 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Agree,,Active,Standard full time,165421,Permanent,Employee,11/08/2014,2022 / 12,,1,Submitted,Scale F,8.564383562,5 - 10 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Strongly Agree,,Active,Standard full time,165421,Permanent,Employee,11/08/2014,2022 / 12,,1,Submitted,Scale F,8.564383562,5 - 10 Years
Financial Planning dummy directorate,I am able to successfully balance my work and personal life,Not Answered,,Active,Standard full time,165421,Permanent,Employee,11/08/2014,2022 / 12,,1,Submitted,Scale F,8.564383562,5 - 10 Years
Financial Planning dummy directorate,I am fairly compensated for the work that I do.,Agree,,Active,Standard full time,165421,Permanent,Employee,11/08/2014,2022 / 12,,1,Submitted,Scale F,8.564383562,5 - 10 Years
Financial Planning dummy directorate,Senior leaders (Governors and Executives) demonstrate a visible commitment to diversity.,Agree,,Active,Standard full time,165421,Permanent,Employee,11/08/2014,2022 / 12,,1,Submitted,Scale F,8.564383562,5 - 10 Years
Financial Planning dummy directorate,I feel a sense of belonging at the Bank.,Disagree,,Active,Standard full time,765428,Permanent,Employee,18/08/2014,2022 / 12,,1,Submitted,Scale G,8.539726027,5 - 10 Years
Financial Planning dummy directorate,"Regardless of background, everyone at the Bank has an equal opportunity to succeed.",Agree,,Active,Standard full time,765428,Permanent,Employee,18/08/2014,2022 / 12,,1,Submitted,Scale G,8.539726027,5 - 10 Years
