Directorate,Question Text,Question Text Group,Response Answer,Assignment Category,Person Number,Termination Date,Allocation Date,User Person Type,Enterprise Hire Date,Month,Response Text,Response Date and Time,Grade Name,Length Of Service
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,567891,19/11/2023,06/09/2023,Permanent,01/07/1976,2023 / 09,,11/09/2023,Scale I,47.41643836
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,567891,19/11/2023,06/09/2023,Permanent,01/07/1976,2023 / 09,,11/09/2023,Scale I,47.41643836
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Prefer not to say,Standard full time,567891,19/11/2023,06/09/2023,Permanent,01/07/1976,2023 / 09,,11/09/2023,Scale I,47.41643836
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Disagree,Standard part time,678912,09/11/2022,17/10/2022,Permanent,11/03/1993,2022 / 11,,01/11/2022,Scale I,29.68493151
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Agree,Standard part time,678912,09/11/2022,17/10/2022,Permanent,11/03/1993,2022 / 11,,01/11/2022,Scale I,29.68493151
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard part time,678912,09/11/2022,17/10/2022,Permanent,11/03/1993,2022 / 11,,01/11/2022,Scale I,29.68493151
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard part time,678912,09/11/2022,17/10/2022,Permanent,11/03/1993,2022 / 11,,01/11/2022,Scale I,29.68493151
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Disagree,Standard part time,678912,09/11/2022,17/10/2022,Permanent,11/03/1993,2022 / 11,,01/11/2022,Scale I,29.68493151
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Strongly Agree,Standard full time,789123,04/01/2023,05/12/2022,Permanent,07/04/1986,2022 / 12,,06/12/2022,Scale I,1.079452055
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,789123,04/01/2023,05/12/2022,Permanent,07/04/1986,2022 / 12,,06/12/2022,Scale I,1.079452055
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,789123,04/01/2023,05/12/2022,Permanent,07/04/1986,2022 / 12,,06/12/2022,Scale I,1.079452055
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Strongly Agree,Standard full time,789123,04/01/2023,05/12/2022,Permanent,07/04/1986,2022 / 12,,06/12/2022,Scale I,1.079452055
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Prefer not to say,Standard full time,789123,04/01/2023,05/12/2022,Permanent,07/04/1986,2022 / 12,,06/12/2022,Scale I,1.079452055
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Strongly Agree,Standard full time,891234,18/05/2023,15/02/2023,Permanent,18/08/1986,2023 / 03,,01/03/2023,Scale E,36.77260274
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,891234,18/05/2023,15/02/2023,Permanent,18/08/1986,2023 / 03,,01/03/2023,Scale E,36.77260274
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,891234,18/05/2023,15/02/2023,Permanent,18/08/1986,2023 / 03,,01/03/2023,Scale E,36.77260274
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Strongly Agree,Standard full time,891234,18/05/2023,15/02/2023,Permanent,18/08/1986,2023 / 03,,01/03/2023,Scale E,36.77260274
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Strongly Agree,Standard full time,891234,18/05/2023,15/02/2023,Permanent,18/08/1986,2023 / 03,,01/03/2023,Scale E,36.77260274
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard part time,912345,16/06/2023,29/03/2023,Permanent,02/06/2008,2023 / 04,,27/04/2023,Scale D,15.04657534
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard part time,912345,16/06/2023,29/03/2023,Permanent,02/06/2008,2023 / 04,,27/04/2023,Scale D,15.04657534
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Disagree,Standard part time,912345,16/06/2023,29/03/2023,Permanent,02/06/2008,2023 / 04,,27/04/2023,Scale D,15.04657534
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Disagree,Standard part time,912345,16/06/2023,29/03/2023,Permanent,02/06/2008,2023 / 04,,27/04/2023,Scale D,15.04657534
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard part time,912345,16/06/2023,29/03/2023,Permanent,02/06/2008,2023 / 04,,27/04/2023,Scale D,15.04657534
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,876543,14/06/2023,15/03/2023,Permanent,03/10/2011,2023 / 03,,21/03/2023,Scale D,11.70410959
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard full time,876543,14/06/2023,15/03/2023,Permanent,03/10/2011,2023 / 03,,21/03/2023,Scale D,11.70410959
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,876543,14/06/2023,15/03/2023,Permanent,03/10/2011,2023 / 03,,21/03/2023,Scale D,11.70410959
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,876543,14/06/2023,15/03/2023,Permanent,03/10/2011,2023 / 03,,21/03/2023,Scale D,11.70410959
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,876543,14/06/2023,15/03/2023,Permanent,03/10/2011,2023 / 03,,21/03/2023,Scale D,11.70410959
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard full time,765432,30/06/2023,31/03/2023,Permanent,31/10/2011,2023 / 06,,20/06/2023,Scale G,11.67123288
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Disagree,Standard full time,765432,30/06/2023,31/03/2023,Permanent,31/10/2011,2023 / 06,,20/06/2023,Scale G,11.67123288
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,765432,30/06/2023,31/03/2023,Permanent,31/10/2011,2023 / 06,,20/06/2023,Scale G,11.67123288
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Strongly Disagree,Standard full time,765432,30/06/2023,31/03/2023,Permanent,31/10/2011,2023 / 06,,20/06/2023,Scale G,11.67123288
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard full time,765432,30/06/2023,31/03/2023,Permanent,31/10/2011,2023 / 06,,20/06/2023,Scale G,11.67123288
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard full time,654321,30/09/2023,10/07/2023,Permanent,03/11/2011,2023 / 09,,01/09/2023,Scale D,11.91506849
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard full time,654321,30/09/2023,10/07/2023,Permanent,03/11/2011,2023 / 09,,01/09/2023,Scale D,11.91506849
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard full time,654321,30/09/2023,10/07/2023,Permanent,03/11/2011,2023 / 09,,01/09/2023,Scale D,11.91506849
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Strongly Agree,Standard full time,654321,30/09/2023,10/07/2023,Permanent,03/11/2011,2023 / 09,,01/09/2023,Scale D,11.91506849
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Agree,Standard full time,654321,30/09/2023,10/07/2023,Permanent,03/11/2011,2023 / 09,,01/09/2023,Scale D,11.91506849
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard part time,543219,31/12/2023,21/09/2023,Permanent,28/08/2012,2023 / 09,,21/09/2023,Scale E,11.34794521
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard part time,543219,31/12/2023,21/09/2023,Permanent,28/08/2012,2023 / 09,,21/09/2023,Scale E,11.34794521
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Standard part time,543219,31/12/2023,21/09/2023,Permanent,28/08/2012,2023 / 09,,21/09/2023,Scale E,11.34794521
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard part time,543219,31/12/2023,21/09/2023,Permanent,28/08/2012,2023 / 09,,21/09/2023,Scale E,11.34794521
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Agree,Standard part time,432198,31/12/2023,21/09/2023,Permanent,28/08/2012,2023 / 09,,21/09/2023,Scale E,11.34794521
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard full time,432198,20/10/2023,25/09/2023,Permanent,01/10/2012,2023 / 09,,25/09/2023,Scale E,11.05753425
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard full time,432198,20/10/2023,25/09/2023,Permanent,01/10/2012,2023 / 09,,25/09/2023,Scale E,11.05753425
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,432198,20/10/2023,25/09/2023,Permanent,01/10/2012,2023 / 09,,25/09/2023,Scale E,11.05753425
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,432198,20/10/2023,25/09/2023,Permanent,01/10/2012,2023 / 09,,25/09/2023,Scale E,11.05753425
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Disagree,Standard full time,432198,20/10/2023,25/09/2023,Permanent,01/10/2012,2023 / 09,,25/09/2023,Scale E,11.05753425
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Strongly Disagree,Standard full time,321987,13/01/2023,13/10/2022,Permanent,01/10/2012,2022 / 11,,08/11/2022,Scale F,10.29041096
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,321987,13/01/2023,13/10/2022,Permanent,01/10/2012,2022 / 11,,08/11/2022,Scale F,10.29041096
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,321987,13/01/2023,13/10/2022,Permanent,01/10/2012,2022 / 11,,08/11/2022,Scale F,10.29041096
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Strongly Agree,Standard full time,321987,13/01/2023,13/10/2022,Permanent,01/10/2012,2022 / 11,,08/11/2022,Scale F,10.29041096
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Disagree,Standard full time,321987,13/01/2023,13/10/2022,Permanent,01/10/2012,2022 / 11,,08/11/2022,Scale F,10.29041096
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,234561,16/12/2022,01/12/2022,Permanent,01/10/2012,2022 / 12,,14/12/2022,Scale E,10.21369863
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,234561,16/12/2022,01/12/2022,Permanent,01/10/2012,2022 / 12,,14/12/2022,Scale E,10.21369863
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,234561,16/12/2022,01/12/2022,Permanent,01/10/2012,2022 / 12,,14/12/2022,Scale E,10.21369863
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Agree,Standard full time,234561,16/12/2022,01/12/2022,Permanent,01/10/2012,2022 / 12,,14/12/2022,Scale E,10.21369863
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Strongly Agree,Standard full time,234561,16/12/2022,01/12/2022,Permanent,01/10/2012,2022 / 12,,14/12/2022,Scale E,10.21369863
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard full time,987651,18/10/2023,21/09/2023,Permanent,26/11/2012,2023 / 09,,21/09/2023,Scale F,3.265753425
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard full time,987651,18/10/2023,21/09/2023,Permanent,26/11/2012,2023 / 09,,21/09/2023,Scale F,3.265753425
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard full time,987651,18/10/2023,21/09/2023,Permanent,26/11/2012,2023 / 09,,21/09/2023,Scale F,3.265753425
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard full time,987651,18/10/2023,21/09/2023,Permanent,26/11/2012,2023 / 09,,21/09/2023,Scale F,3.265753425
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard full time,987651,18/10/2023,21/09/2023,Permanent,26/11/2012,2023 / 09,,21/09/2023,Scale F,3.265753425
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard full time,461231,10/02/2023,11/01/2023,Permanent,29/03/1993,2023 / 01,,26/01/2023,Scale H,29.89041096
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard full time,461231,10/02/2023,11/01/2023,Permanent,29/03/1993,2023 / 01,,26/01/2023,Scale H,29.89041096
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,461231,10/02/2023,11/01/2023,Permanent,29/03/1993,2023 / 01,,26/01/2023,Scale H,29.89041096
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Strongly Agree,Standard full time,461231,10/02/2023,11/01/2023,Permanent,29/03/1993,2023 / 01,,26/01/2023,Scale H,29.89041096
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,461231,10/02/2023,11/01/2023,Permanent,29/03/1993,2023 / 01,,26/01/2023,Scale H,29.89041096
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Temporary part time,234561,30/06/2023,15/03/2023,Permanent,01/10/1979,2023 / 03,,16/03/2023,Scale D,43.77534247
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Temporary part time,234561,30/06/2023,15/03/2023,Permanent,01/10/1979,2023 / 03,,16/03/2023,Scale D,43.77534247
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Strongly Agree,Temporary part time,234561,30/06/2023,15/03/2023,Permanent,01/10/1979,2023 / 03,,16/03/2023,Scale D,43.77534247
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Temporary part time,234561,30/06/2023,15/03/2023,Permanent,01/10/1979,2023 / 03,,16/03/2023,Scale D,43.77534247
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Strongly Agree,Temporary part time,234561,30/06/2023,15/03/2023,Permanent,01/10/1979,2023 / 03,,16/03/2023,Scale D,43.77534247
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Strongly Agree,Standard part time,245661,05/04/2023,01/11/2022,Permanent,27/10/2003,2022 / 11,,23/11/2022,Scale D,19.45205479
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Strongly Agree,Standard part time,245661,05/04/2023,01/11/2022,Permanent,27/10/2003,2022 / 11,,23/11/2022,Scale D,19.45205479
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard part time,245661,05/04/2023,01/11/2022,Permanent,27/10/2003,2022 / 11,,23/11/2022,Scale D,19.45205479
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Strongly Agree,Standard part time,245661,05/04/2023,01/11/2022,Permanent,27/10/2003,2022 / 11,,23/11/2022,Scale D,19.45205479
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Strongly Agree,Standard part time,245661,05/04/2023,01/11/2022,Permanent,27/10/2003,2022 / 11,,23/11/2022,Scale D,19.45205479
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Agree,Standard part time,166542,31/05/2023,22/02/2023,Permanent,29/03/2004,2023 / 02,,22/02/2023,Scale E,19.18356164
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Agree,Standard part time,166542,31/05/2023,22/02/2023,Permanent,29/03/2004,2023 / 02,,22/02/2023,Scale E,19.18356164
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard part time,166542,31/05/2023,22/02/2023,Permanent,29/03/2004,2023 / 02,,22/02/2023,Scale E,19.18356164
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Strongly Agree,Standard part time,166542,31/05/2023,22/02/2023,Permanent,29/03/2004,2023 / 02,,22/02/2023,Scale E,19.18356164
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Strongly Agree,Standard part time,166542,31/05/2023,22/02/2023,Permanent,29/03/2004,2023 / 02,,22/02/2023,Scale E,19.18356164
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Agree,Standard part time,665421,16/07/2023,19/05/2023,Permanent,03/05/2005,2023 / 06,,13/06/2023,Scale J,18.21369863
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Agree,Standard part time,665421,16/07/2023,19/05/2023,Permanent,03/05/2005,2023 / 06,,13/06/2023,Scale J,18.21369863
Financial Planning dummy directorate,I have been able to successfully balance my work and personal life.,About the leaver’s role,Agree,Standard part time,665421,16/07/2023,19/05/2023,Permanent,03/05/2005,2023 / 06,,13/06/2023,Scale J,18.21369863
Financial Planning dummy directorate,I have been suitably equipped to do my job.,About the leaver’s role,Agree,Standard part time,665421,16/07/2023,19/05/2023,Permanent,03/05/2005,2023 / 06,,13/06/2023,Scale J,18.21369863
Financial Planning dummy directorate,"Overall, I am satisfied with my current role at the Bank.",About the leaver’s role,Agree,Standard part time,665421,16/07/2023,19/05/2023,Permanent,03/05/2005,2023 / 06,,13/06/2023,Scale J,18.21369863
Financial Planning dummy directorate,I felt equipped with the appropriate resources and tools to effectively carry out my role,About the leaver’s role,Disagree,Standard full time,665423,17/02/2023,18/11/2022,Permanent,01/10/2007,2023 / 01,,04/01/2023,Scale E,15.39178082
Financial Planning dummy directorate,I felt supported by my managers,About the leaver’s role,Agree,Standard full time,665423,17/02/2023,18/11/2022,Permanent,01/10/2007,2023 / 01,,04/01/2023,Scale E,15.39178082
Financial Planning dummy directorate,I was able to stay on top of the demands of the job and achieve an appropriate work life balance,About the leaver’s role,Not Answered,Standard full time,665423,17/02/2023,18/11/2022,Permanent,01/10/2007,2023 / 01,,04/01/2023,Scale E,15.39178082
Financial Planning dummy directorate,"My knowledge, skills and experience were utilised effectively in the role",About the leaver’s role,Disagree,Standard full time,665423,17/02/2023,18/11/2022,Permanent,01/10/2007,2023 / 01,,04/01/2023,Scale E,15.39178082
Financial Planning dummy directorate,My role was considered important within the Bank and made a difference,About the leaver’s role,Agree,Standard full time,665423,17/02/2023,18/11/2022,Permanent,01/10/2007,2023 / 01,,04/01/2023,Scale E,15.39178082
Financial Planning dummy directorate,I am satisfied with the way I have been managed.,About the leaver’s role,Strongly Agree,Standard part time,665424,25/01/2024,26/10/2023,Permanent,14/04/2008,2023 / 10,,26/10/2023,Scale D,15.79178082
Financial Planning dummy directorate,I have been able to make the best of my skills and knowledge.,About the leaver’s role,Strongly Agree,Standard part time,665424,25/01/2024,26/10/2023,Permanent,14/04/2008,2023 / 10,,26/10/2023,Scale D,15.79178082
